disease_id	phenotype_id	qualifier	evidence	onset	frequency	sex	modifier	aspect	publication	description
			PCS		3/14			C		
			PCS		0/14			P		
			PCS		HP:0040280			P		
			PCS		2/2		HP:0012829	P		
			PCS	HP:0011463	5/5			P		
			PCS	HP:0003593	8/8			P		
			PCS		58/58			P		
			PCS		12/58			C		
			PCS		7/58			P		
			PCS		6/13			P		
			PCS		46/58			C		
			PCS		12/58			P		
			PCS		1/58			P		
			PCS		31/58			P		
			PCS	HP:0003581	33/35			P		
			PCS		33/58			P		
			PCS		2/58			P		
			PCS		16/58			P		
			PCS		9/28			P		
			PCS		2/28			P		
			TAS	HP:0003581				P		
			PCS		10/28			P		
			PCS		20/28			P		
			PCS		11/15			P		
			TAS	HP:0003577				P		
			PCS		4/7			C		
			PCS		7/7		HP:0012828	P		
			PCS		5/17			P		
			PCS		6/14			P		
			PCS		21/21			P		
			PCS		17/18			C		
			PCS		16/20			P		
			PCS		1/18			C		
			PCS		0/20			P		
			PCS		0/18			P		
			PCS		15/20			P		
			PCS		9/19			P		
			IEA		1/1			C		
			PCS		1/1			H		
			PCS	HP:0003577	2/5	MALE		P		
			PCS		7/7	MALE		P		
			PCS		1/5	MALE		P		
			PCS		2/5	MALE		P		
			PCS		5/5	MALE		P		
			PCS		1/3		HP:0012825	P		
			PCS	HP:0025709	1/1			P		
			PCS	HP:0025710	1/1			P		
			TAS	HP:0003577	6/6			P		
			PCS	HP:0003623	2/3			P		
			PCS	HP:0011463	10/14			P		
			IEA	HP:0011463				P		
			PCS		12/14			P		
			TAS		4/15			P		
			PCS		4/15			P		
			PCS		22/31			P		
			PCS		12/22			P		
			IEA		10/22			P		
			PCS		17/22			P		
			PCS		9/22			P		
			PCS		20/22			P		
			PCS		21/30			P		
			PCS		16/22			P		
			PCS		22/22			P		
			PCS		14/22			P		
			PCS		4/22			P		
			PCS		1/21			P		
			PCS		18/22			P		
			PCS		5/22			P		
			PCS		15/22			P		
			PCS		7/22			P		
			PCS		1/22			P		
			PCS		1/12	MALE		P		
			PCS		12/20			P		
			PCS		0/1			P		
			PCS	HP:0011463	2/2			P		
			PCS	HP:0003581	2/2			P		
			TAS		2/2			P		
			PCS		0/15			P		
			IEA		2/9			C		
			PCS		7/9			C		
			TAS				HP:0012827	P		
			PCS	HP:0003584				P		
			PCS	HP:0011461	1/1			P		
			IEA	HP:0003623	1/1			P		
			IEA		20/20			P		
			PCS		13/13			C		
			PCS		0/13			P		
			IEA		2/2			P		
			PCS		HP:0040282			P		
			PCS		2/24			C		
			PCS		3/24			C		
			PCS		15/16			P		
			PCS		17/19			P		
			PCS		11/16			P		
			PCS		19/24			C		
			PCS	HP:0011462	1/1			P		
			PCS		10/11			P		
			PCS		1/11			C		
			PCS		8/11			P		
			PCS		HP:0040281			P		
			PCS		4/19			P		
			PCS		11/25			P		
			PCS		4/6			C		
			PCS		17/24			P		
			PCS		2/6			C		
			PCS		8/18			P		
			PCS		11/19			P		
			PCS		6/21			P		
			PCS		5/21			P		
			PCS		17/20			P		
			PCS		4/21			P		
			PCS		27/27			P		
			PCS		20/21			P		
			PCS		19/21			P		
			PCS		3/21			P		
			PCS		20/25			P		
			PCS		1/18			P		
			PCS		25/27			P		
			PCS		26/27			P		
			PCS		7/19			P		
			PCS		2/21			P		
			PCS		10/21			P		
			PCS	HP:0003593	1/3			P		
			PCS		25/27			C		
			PCS		8/27			P		
			PCS		2/27			C		
			PCS		12/27			P		
			TAS			MALE		P		
			PCS		19/24		HP:4000103	P		
			PCS	HP:0011463	4/6			P		
			PCS		3/6			C		
			PCS	HP:0011461	1/4			P		
			PCS	HP:0011461	2/4			P		
			IEA		8/13			P		
			IEA	HP:0003581				P		
			TAS	HP:0003581			HP:0003676	P		
			PCS	HP:0003623	5/5			P		
			PCS		6/8			P		
			IEA		5/6			C		
			PCS		5/13			P		
			PCS		3/12			P		
			PCS	HP:0003577	10/11			P		
			PCS		6/11			P		
			PCS		9/16			P		
			PCS		9/14			P		
			PCS	HP:0003577	6/11			P		
			PCS		3/11			P		
			PCS	HP:0003621	1/14			P		
			PCS		5/29			C		
			PCS		5/15			C		
			PCS		17/18			P		
			PCS		20/30			C		
			PCS		4/13			P		
			PCS		10/15	FEMALE		P		
			PCS		15/15	FEMALE		C		
			PCS		11/11	FEMALE		P		
			PCS		3/4	FEMALE		P		
			PCS		7/17	FEMALE		P		
			PCS	HP:0003577	1/7			P		
			PCS		1/5		HP:0012825	P		
			IEA		3/13			P		
			IEA		3/5			P		
			TAS		14/14			P		
			TAS		14/15			P		
			PCS		1/25			P		
			PCS		5/25			P		
			PCS		7/25			P		
			PCS		10/13			P		
			PCS		7/13			P		
			PCS		2/25			P		
			PCS		8/25			P		
			PCS	HP:0011461	1/5			P		
			PCS		8/24			P		
			PCS		25/33			P		
			PCS		10/16			P		
			PCS		4/28			P		
			PCS		21/35			P		
			PCS		5/19			P		
			PCS		14/23			P		
			PCS		17/25			P		
			PCS		10/15	MALE		P		
			PCS		17/29			P		
			PCS		16/28			C		
			PCS		28/29			P		
			PCS		14/29			P		
			PCS		11/29			P		
			PCS		12/28			C		
			PCS		3/4		HP:0003676	P		
			PCS		3/18			P		
			IEA		19/19			P		
			PCS		12/16			P		
			PCS		98/98			P		
			PCS		12/60			P		
			PCS	HP:0003623	8/8			P		
			PCS		0/8			P		
			PCS	HP:0003623	1/8			P		
			PCS		3/3		HP:0025215	P		
			PCS		1/1			I		
			PCS		7/12			C		
			PCS		2/4	FEMALE		P		
			PCS	HP:0011463	3/3			P		
			PCS		4/10			C		
			PCS		16/17			P		
			PCS		10/18			P		
			PCS		14/18			P		
			PCS		12/13			P		
			PCS		6/12			P		
			PCS	HP:0003577	7/16			P		
			PCS		8/15			P		
			PCS		1/12			P		
			PCS		9/9			C		
			IEA		4/9			P		
			IEA		2/2			C		
			PCS		9/15			P		
			PCS		11/17			P		
			IEA		1/9			P		
			PCS		1/13			C		
			PCS		2/12			P		
			PCS		12/13			C		
			PCS	HP:0011463	HP:0040283			P		
			PCS		60/67			P		
			PCS		133/143			P		
			PCS		131/138			P		
			PCS		13/118			P		
			PCS		129/130			P		
			PCS		43/76			P		
			PCS		32/75			P		
			PCS		71/138			P		
			PCS		27/129			P		
			PCS		72/97			P		
			PCS		99/128			P		
			PCS		59/119			P		
			PCS		4/24			P		
			PCS		35/124			P		
			PCS		54/122			P		
			IEA		2/4			C		
			PCS		5/5		HP:0012829	P		
			PCS	HP:0003577	1/2			P		
			PCS		20/20			I		
			TAS				HP:0003676	P		
			IEA		11/13			P		
			PCS	HP:0011463	3/6			P		
			IEA		1/6			P		
			PCS	HP:0003593	10/10			P		
			PCS		19/20			P		
			PCS		1/6		HP:0012828	P		
			PCS		1/17			C		
			PCS		6/17			P		
			PCS		15/20			C		
			PCS		10/17			P		
			PCS		3/17			C		
			PCS		5/12			P		
			PCS		1/1		HP:0012825	P		
			PCS		0/12			P		
			PCS	HP:0003621	1/1			P		
			PCS		10/12			P		
			IEA					M		
			PCS		12/18			P		
			PCS	HP:0030674	3/3			P		
			PCS	HP:0003623	4/4			P		
			TAS		1/2			P		
			IEA	HP:0003577	2/2			P		
			IEA	HP:0003577	6/6			P		
			PCS	HP:0003577	8/8			P		
			PCS		3/4		HP:0025303	P		
			PCS	HP:0011463	4/12			P		
			PCS		4/12			P		
			PCS	HP:0003577	1/12			P		
			PCS		4/16			P		
			PCS		2/32			P		
			PCS	HP:0003577	1/3			P		
			PCS		19/19			P		
			PCS	HP:0003581	2/10			P		
			PCS	HP:0003621				P		
			PCS		12/24			P		
			PCS		6/24			P		
			PCS		3/24			P		
			PCS		24/24			P		
			PCS		2/24			P		
			PCS		8/22			P		
			PCS		15/24			P		
			PCS		5/24			P		
			PCS		7/24			P		
			PCS		9/24			P		
			PCS		8/21			C		
			PCS		11/21			C		
			IEA		2/9			P		
			PCS		2/18			C		
			PCS	HP:0003581	1/1			P		
			IEA		4/4			C		
			PCS	HP:0003577	3/4			P		
			TAS	HP:0003621				P		
			PCS	HP:0003623	1/1			P		
			PCS		12/17			P		
			PCS		5/16			C		
			PCS		1/16			C		
			PCS		3/16			C		
			PCS		12/26			C		
			IEA		8/15			P		
			IEA		6/15			P		
			PCS		14/15			P		
			PCS		6/15			P		
			IEA		1/3			C		
			PCS		HP:0040283		HP:0012833	P		
			PCS		12/20		HP:0012833;HP:0012833	P		
			PCS		HP:0040280		HP:0012833	P		
			PCS	HP:0003593	HP:0040281		HP:0012833	P		
			PCS		10/28			C		
			PCS		1/28			C		
			PCS		17/28			C		
			PCS		24/29			P		
			PCS	HP:0003593	11/11			P		
			PCS		4/10		HP:0012825	P		
			PCS		4/11			C		
			PCS	HP:0030674	4/11			P		
			PCS	HP:0003623	5/11			P		
			PCS		17/40			P		
			PCS		2/40			P		
			PCS		9/40			P		
			PCS		27/40			P		
			PCS		1/40			P		
			PCS		6/40			P		
			PCS			MALE		P		
			PCS		22/40			P		
			PCS		3/40			P		
			PCS		12/40			P		
			PCS		24/40			P		
			PCS		19/40			P		
			PCS			FEMALE		P		
			PCS	HP:0003581	1/8			P		
			PCS		1/9			C		
			PCS	HP:0003581	9/9			P		
			TAS				HP:0012829	P		
			PCS		4/5	MALE		P		
			PCS		6/7			C		
			PCS		31/31			P		
			PCS		2/31			P		
			PCS		25/31			P		
			PCS		0/31			P		
			PCS		29/31			P		
			PCS		27/31			P		
			PCS		1/1	MALE		P		
			PCS	HP:0011461	1/8			P		
			PCS		4/8			C		
			PCS		6/8			C		
			PCS	HP:0011461	2/2			P		
			PCS		14/14			C		
			PCS		1/35			P		
			PCS		17/35			P		
			PCS		2/35			P		
			PCS		10/14			P		
			PCS	HP:0003577	3/18	FEMALE		P		
			IEA				HP:0012825	P		
			PCS		16/17			C		
			IEA		18/18			P		
			PCS		13/19			P		
			PCS		7/23			P		
			PCS		3/19			P		
			PCS	HP:0011461	1/2			P		
			PCS		1/3		HP:0025303	P		
			TAS		20/20			C		
			TAS		25%			P		
			PCS		35/35			P		
			PCS		15/34			P		
			PCS		14/26		HP:0031796;HP:0031796	P		
			PCS		6/31			P		
			PCS		2/2	MALE		P		
			TAS	HP:0003623	1/1			P		
			PCS	HP:0011463	4/5			P		
			PCS		11/62			P		
			PCS		4/62			P		
			PCS		62/62			P		
			PCS		2/62			P		
			PCS		10/62			P		
			PCS		0/62			P		
			PCS	HP:0003577	30/62			P		
			PCS		60/62			P		
			PCS		12/72			P		
			PCS		7/62			P		
			PCS		22/22			C		
			PCS	HP:0030674				P		
			PCS		7/8			C		
			PCS		5/7			C		
			IEA		3/3			P		
			PCS	HP:0011463	5/6			P		
			PCS	HP:0003593	8/11			P		
			PCS		15/19			P		
			IEA		7/8			P		
			PCS		7/12			P		
			PCS	HP:0030674	2/2			P		
			PCS		0/45			P		
			PCS		45/45			P		
			PCS		2/2		HP:0025377	P		
			PCS		22/27			P		
			PCS		27/27			C		
			PCS		1/27			P		
			PCS		2/27			P		
			PCS		14/27			P		
			PCS		15/27			P		
			PCS		2/13			P		
			PCS		16/19			C		
			PCS		79/105			P		
			PCS		61/71			P		
			PCS		74/82			P		
			IEA	HP:0003577	15/15			P		
			PCS	HP:0011463	10/10			P		
			PCS	HP:0003621	18/18			P		
			PCS	HP:0011463	18/18			P		
			PCS		9/66			P		
			PCS		9/77			P		
			PCS		28/53			P		
			PCS		31/73			P		
			PCS		33/70			P		
			PCS		11/11	MALE		P		
			TAS		HP:0040283		HP:0012825	P		
			PCS	HP:0025708	5/5			P		
			PCS	HP:0003581	5/5			P		
			PCS		4/13			C		
			PCS		9/13			C		
			PCS		9/18			P		
			PCS		28/28			P		
			PCS		1/8	MALE		P		
			PCS		3/3		HP:0012827	P		
			PCS		17/32			P		
			PCS		32/32			P		
			TAS		20/20		HP:0012837	P		
			PCS	HP:0003623	3/3			P		
			PCS		3/12			C		
			PCS		9/12			C		
			TAS		8/8			P		
			PCS		0/23			P		
			PCS	HP:0011463	5/7			P		
			PCS		2/3	MALE		P		
			IEA		7/7			P		
			PCS		1/4		HP:0031796	P		
			PCS		20%			P		
			IEA		4/4			P		
			PCS	HP:0011463	3/4			P		
			PCS		9/12			P		
			PCS		12/12			C		
			PCS		1/5		HP:0012833	P		
			TAS	HP:0003593				P		
			PCS		4/4		HP:0012825	P		
			PCS		3/8			C		
			IEA		5/5			C		
			PCS		2/2		HP:0012825	P		
			PCS		1/1		HP:0025293	P		
			PCS		12/12		HP:0012829	P		
			PCS	HP:0011462	1/2			P		
			PCS		1/29			C		
			PCS		8/29			C		
			PCS		19/29			C		
			PCS		17/24			C		
			PCS		20/24			P		
			PCS		10/24			P		
			PCS		4/24			C		
			PCS		19/24			P		
			PCS		6/6			I		
			PCS		6/6		HP:0012828	P		
			PCS	HP:0003593	1/1		HP:0031135	P		
			PCS	HP:0011463	7/7			P		
			PCS		2/11			C		
			PCS		9/11			C		
			PCS		8/8		HP:0033184	P		
			PCS		10/11			C		
			PCS	HP:0003623	7/11			P		
			PCS		2/6	MALE		P		
			PCS	HP:0003577	4/4			P		
			PCS	HP:0003621	16/16			P		
			PCS	HP:0003623	2/5			P		
			PCS	HP:0011463	3/3		HP:0012832	P		
			PCS		5/6		HP:0031796	P		
			PCS		9/30			P		
			PCS		2/19			P		
			PCS		19/32			P		
			PCS		21/21		HP:0025303	P		
			PCS		8/21			P		
			PCS		25/32			P		
			PCS		7/30			P		
			PCS		17/30			P		
			PCS		2/11		HP:0011010	P		
			PCS		16/32			P		
			PCS		15/28			P		
			PCS		3/3	MALE		P		
			PCS	HP:0003593				P		
			IEA		2/4			P		
			PCS		14/36			P		
			PCS		33/55			P		
			PCS		4/39			P		
			PCS		24/61			P		
			PCS		51/52			C		
			PCS		9/103			P		
			PCS		1/153			P		
			PCS		5/56			P		
			PCS		47/130			P		
			PCS		14/80			P		
			PCS		7/55			P		
			PCS		28/123			P		
			PCS		30/56			P		
			PCS		9/53			P		
			PCS		59/186			P		
			PCS		1/151			P		
			PCS		32/98			P		
			PCS		64/144			P		
			PCS		4/103			P		
			PCS		10/153			P		
			PCS		46/186			P		
			PCS		40/85			P		
			PCS		40/42			P		
			PCS		56/125			P		
			PCS		9/80			P		
			PCS		41/56			P		
			PCS		42/55			P		
			PCS		25/82			P		
			PCS		34/55			P		
			PCS		50/52			P		
			PCS	HP:0003593	2/3			P		
			PCS	HP:0011463	2/3			P		
			PCS	HP:0003621	1/3			P		
			PCS	HP:0003621	1/2			P		
			PCS		8/15			C		
			PCS		13/15			P		
			PCS		2/12			C		
			PCS		1/1	FEMALE		P		
			PCS	HP:0003596	3/5			P		
			TAS	HP:0030674	HP:0040283			P		
			PCS	HP:0030674	1/15			P		
			PCS	HP:0003577	1/4			P		
			PCS	HP:0003577	3/15			P		
			IEA	HP:0003577	1/4			P		
			PCS	HP:0030674	2/15			P		
			PCS	HP:0030674	6/15			P		
			PCS	HP:0003623	2/15			P		
			PCS		8/8		HP:0012829	P		
			TAS		4/4			P		
			PCS		1/1		HP:0012826	P		
			PCS		0/4		HP:0012825	P		
			PCS		2/2		HP:0003676	P		
			PCS		18/43			P		
			PCS		14/25			C		
			PCS		11/22			C		
			PCS		12/34			P		
			PCS		6/29			P		
			PCS		1/65			P		
			PCS		13/41			P		
			PCS		14/40			P		
			PCS		25/39			P		
			PCS		40/40			P		
			PCS		16/39			P		
			PCS		1/31			P		
			PCS		9/29			P		
			PCS		14/41		HP:0012825	P		
			PCS		14/30			P		
			PCS		11/28			P		
			PCS		14/35			P		
			PCS		54/54			P		
			PCS		8/26			P		
			PCS		3/23			P		
			PCS		13/21			P		
			PCS		35/40			P		
			PCS		6/25			P		
			PCS		14/26			P		
			PCS	HP:0003596	1/1			P		
			PCS		4/9			C		
			PCS	HP:0011462	3/3			P		
			PCS		5/7		HP:0012825	P		
			PCS	HP:0003581	7/7			P		
			PCS		0/19			P		
			IEA			FEMALE		P		
			IEA		1/10			P		
			PCS	HP:0011463	6/6		HP:0025377	P		
			PCS		0/49			P		
			PCS		1/45			P		
			PCS		38/50			P		
			PCS		26/55			P		
			PCS		2/45			P		
			PCS		1/49			P		
			PCS		25/51			P		
			PCS		6/50			P		
			PCS		12/53			P		
			PCS		35/55			P		
			PCS		15/53			P		
			PCS		9/50			P		
			PCS		2/49			P		
			PCS		4/50			P		
			PCS		3/49			P		
			PCS		1/50			P		
			PCS		5/60			P		
			PCS		11/48			P		
			PCS		4/60			P		
			PCS		8/55			P		
			PCS		13/20			P		
			PCS		11/33			P		
			PCS		3/45			P		
			PCS		45/60			P		
			PCS		2/50			P		
			PCS		42/48			P		
			PCS		11/61			P		
			PCS		5/50			P		
			PCS		6/49			P		
			PCS		48/48			P		
			PCS		23/25			P		
			PCS		8/37			P		
			PCS		18/60			P		
			PCS		5/49			P		
			PCS		21/52			P		
			PCS		10/60			P		
			PCS		2/33			P		
			PCS		9/45			P		
			PCS		6/37			P		
			PCS		32/56			P		
			PCS		14/21			P		
			PCS		49/59			P		
			PCS		3/61			P		
			PCS		15/60			P		
			PCS		1/41			P		
			PCS		15/52			P		
			PCS		10/20			P		
			PCS		7/61			P		
			PCS		9/61			P		
			PCS		8/39			P		
			PCS		35/45			P		
			PCS		4/45			P		
			PCS		8/50			P		
			PCS		5/61			P		
			PCS		3/50			P		
			PCS		4/57			P		
			PCS		10/45			P		
			PCS		2/41			P		
			PCS		9/55			P		
			PCS		0/40			P		
			PCS		20/39			P		
			PCS		8/51			P		
			PCS		1/56			P		
			PCS		9/46			P		
			PCS		37/54			P		
			PCS		46/47			P		
			PCS		17/44			P		
			PCS	HP:0003581				P		
			PCS		16/19			P		
			PCS		19/19			C		
			PCS		18/19			P		
			PCS		8/9	MALE		P		
			PCS	HP:0003621	2/2			P		
			PCS	HP:0011462	2/2			P		
			PCS		8/11			C		
			PCS		3/22			P		
			PCS		2/22			P		
			PCS	HP:0011462	19/22			P		
			PCS		19/22			P		
			PCS		21/22			P		
			PCS		2/43			P		
			PCS		10/49			P		
			PCS		42/42			P		
			PCS		5/39			P		
			PCS		2/39			P		
			PCS	HP:0003577	3/39			P		
			PCS		6/43			P		
			PCS		3/3		HP:0012825	P		
			TAS		1/1			C		
			TAS		5/5			P		
			IEA		5/9			P		
			PCS	HP:0003577	2/7			P		
			PCS		8/8		HP:0025215	P		
			PCS		18/20			P		
			PCS		50%			I		
			PCS		7/11			C		
			IEA		2/16			P		
			IEA		16/16			P		
			TAS				HP:0031375	P		
			IEA		15/16			P		
			IEA		4/16			P		
			TAS				HP:0012837	P		
			IEA		6/6			C		
			TAS			FEMALE		P		
			PCS		3/11			C		
			PCS		6/13			C		
			PCS	HP:0003596				P		
			PCS	HP:0011463	9/9			P		
			PCS		1/9		HP:0012825	P		
			TAS		HP:0040283			H		
			PCS		11/34			P		
			PCS		39/40			P		
			PCS		31/37			P		
